i,time,ax
2,60,"11,86111111"
3,90,"16,02777778"
4,120,"11,02777778"
5,150,10.21
6,180,10.21
7,210,"18,94444444"
8,240,13
9,270,"20,61111111"
10,300,"14,36111111"
11,330,-3
12,360,"13,11111111"
13,390,"15,61111111"
14,420,10.21
15,450,16
16,480,"18,52777778"
17,510,"12,69444444"
18,540,-4
19,570,"13,94444444"
20,600,"16,44444444"
21,630,"13,52777778"
22,660,10.21
23,690,"17,69444444"
24,720,"19,36111111"
25,750,10.21
26,780,3
27,810,"14,77777778"
28,840,12
29,870,14
30,900,10.21
31,930,"11,44444444"
32,960,15
33,990,"12,27777778"
34,1020,"10,61111111"
35,1050,-2
36,1080,"16,86111111"
37,1110,"20,19444444"
38,1140,"15,19444444"
39,1170,"17,27777778"
40,1200,12
41,1230,10.21
42,1260,"19,77777778"
43,1290,10.21
