i,time,ax
0,154521,0.06
0,154534,0.02
0,154547,-0.04
0,154560,-0.05
0,154573,-0.11
0,154586,-0.18
0,154599,-0.17
0,154612,-0.17
0,154625,-0.15
0,154638,-0.17
0,154651,-0.24
0,154664,-0.28
0,154677,-0.27
0,154690,-0.28
0,154703,-0.29
0,154716,-0.26
0,154729,-0.21
0,154742,-0.19
0,154755,-0.12
0,154768,-0.06
0,154781,0.01
0,154794,0.08
0,154807,0.15
0,154820,0.19
0,154833,0.20
0,154846,0.15
0,154859,0.13
0,154872,0.04
0,154885,-0.02
0,154898,-0.09
0,154911,-0.17
0,154924,-0.21
0,154937,-0.25
0,154950,-0.27
0,154963,-0.26
0,154976,-0.26
0,154989,-0.19
0,155002,-0.08
0,155015,0.05
0,155028,0.14
0,155041,0.22
0,155054,0.35
0,155067,0.49
0,155080,0.69
0,155093,0.89
0,155106,1.04
0,155119,1.28
0,155132,1.43
0,155145,1.59
0,155158,1.76
0,155171,1.90
0,155184,2.06
0,155197,2.19
0,155210,2.34
0,155223,2.53
0,155236,2.66
0,155249,2.72
0,155262,2.82
0,155275,2.80
0,155288,2.72
0,155301,2.61
0,155314,2.50
0,155327,2.39
0,155340,2.27
0,155353,2.20
0,155366,1.93
0,155379,1.53
0,155392,1.12
0,155405,0.71
0,155418,0.22
0,155431,-0.11
0,155444,-0.41
0,155457,-0.64
0,155470,-1.05
0,155483,-1.49
0,155496,-1.98
0,155509,-2.47
0,155522,-3.02
0,155535,-3.46
0,155548,-3.84
0,155561,-4.26
0,155574,-4.59
0,155587,-4.79
0,155600,-4.83
0,155613,-4.66
0,155626,-4.43
0,155639,-4.30
0,155652,-4.16
0,155665,-3.95
0,155678,-3.69
0,155691,-3.30
0,155704,-3.00
0,155717,-2.90
0,155730,-2.91
0,155743,-2.91
0,155756,-2.86
0,155769,-2.85
0,155782,-2.95
0,155795,-3.07
0,155808,-3.07
0,155821,-2.97
0,155834,-2.85
0,155847,-2.60
0,155860,-2.40
0,155873,-2.13
0,155886,-1.82
0,155899,-1.54
0,155912,-1.20
0,155925,-0.82
0,155938,-0.44
0,155951,-0.11
0,155964,0.12
0,155977,0.22
0,155990,0.40
0,156003,0.54
0,156016,0.63
0,156029,0.66
0,156042,0.65
0,156055,0.74
0,156068,0.87
0,156081,1.13
0,156094,0.72
0,156107,0.72
0,156120,0.86
0,156133,0.93
0,156146,1.15
0,156159,1.27
0,156172,1.21
0,156185,1.21
0,156198,1.35
0,156211,1.67
0,156224,1.82
0,156237,1.95
0,156250,2.16
0,156263,2.34
0,156276,2.60
0,156289,2.74
0,156302,2.87
0,156315,2.99
0,156328,3.11
0,156341,3.15
0,156354,3.14
0,156367,3.06
0,156380,2.96
0,156393,2.91
0,156406,2.82
0,156419,2.69
0,156432,2.55
0,156445,2.40
0,156458,2.20
0,156471,1.97
0,156484,1.73
0,156497,1.51
0,156510,1.33
0,156523,1.14
0,156536,1.00
0,156549,0.95
0,156562,0.94
0,156575,1.01
0,156588,1.11
0,156601,1.19
0,156614,1.20
0,156627,1.20
0,156640,1.15
0,156653,1.02
0,156666,0.87
0,156679,0.71
0,156692,0.54
0,156705,0.41
0,156718,0.26
0,156731,0.07
0,156744,-0.09
0,156757,-0.21
0,156770,-0.32
0,156783,-0.38
0,156796,-0.42
0,156809,-0.45
0,156822,-0.59
0,156835,-0.74
0,156848,-0.90
0,156861,-1.06
0,156874,-1.21
0,156887,-1.43
0,156900,-1.67
0,156913,-1.90
0,156926,-2.16
0,156939,-2.40
0,156952,-2.60
0,156965,-2.78
0,156978,-2.92
0,156991,-3.06
0,157004,-3.18
0,157017,-3.24
0,157030,-3.27
0,157043,-3.27
0,157056,-3.20
0,157069,-3.11
0,157082,-2.97
0,157095,-2.81
0,157108,-2.75
0,157121,-2.74
0,157134,-2.73
0,157147,-2.75
0,157160,-2.74
0,157173,-2.70
0,157186,-2.56
0,157199,-2.37
0,157212,-2.15
0,157225,-1.94
0,157238,-1.71
0,157251,-1.59
0,157264,-1.51
0,157277,-1.47
0,157290,-1.55
0,157303,-1.59
0,157316,-1.46
0,157329,-1.34
0,157342,-1.24
0,157355,-1.20
0,157368,-1.26
0,157381,-1.31
0,157394,-1.24
0,157407,-1.13
0,157420,-0.85
0,157433,-0.72
0,157446,-0.79
0,157459,-0.74
0,157472,-0.53
0,157485,-0.21
0,157498,0.18
0,157511,0.53
0,157524,0.77
0,157537,0.89
0,157550,1.15
0,157563,1.54
0,157576,1.87
0,157589,2.05
0,157602,2.30
0,157615,2.66
0,157628,3.07
0,157641,3.52
0,157654,3.90
0,157667,4.22
0,157680,4.48
0,157693,4.45
0,157706,4.36
0,157719,4.31
0,157732,4.31
0,157745,4.26
0,157758,4.10
0,157771,4.02
0,157784,3.95
0,157797,3.79
0,157810,3.63
0,157823,3.46
0,157836,3.24
0,157849,2.92
0,157862,2.63
0,157875,2.28
0,157888,2.05
0,157901,1.92
0,157914,1.74
0,157927,1.55
0,157940,1.43
0,157953,1.37
0,157966,1.33
0,157979,1.24
0,157992,1.19
0,158005,1.02
0,158018,0.84
0,158031,0.66
0,158044,0.48
0,158057,0.30
0,158070,0.17
0,158083,-0.01
0,158096,-0.18
0,158109,-0.49
0,158122,-0.82
0,158135,-1.06
0,158148,-1.25
0,158161,-1.48
0,158174,-1.65
0,158187,-1.78
0,158200,-1.77
0,158213,-1.82
0,158226,-1.78
0,158239,-1.75
0,158252,-1.77
0,158265,-1.75
0,158278,-1.83
0,158291,-2.03
0,158304,-2.30
0,158317,-2.53
0,158330,-2.80
0,158343,-3.17
0,158356,-3.44
0,158369,-3.61
0,158382,-3.85
0,158395,-4.21
0,158408,-4.46
0,158421,-4.45
0,158434,-4.24
0,158447,-4.16
0,158460,-4.12
0,158473,-3.95
0,158486,-3.83
0,158499,-3.75
0,158512,-3.76
0,158525,-3.88
0,158538,-3.95
0,158551,-3.94
0,158564,-3.92
0,158577,-3.91
0,158590,-3.75
0,158603,-3.55
0,158616,-3.33
0,158629,-3.01
0,158642,-2.64
0,158655,-2.26
0,158668,-1.79
0,158681,-1.36
0,158694,-1.16
0,158707,-1.07
0,158720,-1.01
0,158733,-0.81
0,158746,-0.48
0,158759,0.11
0,158772,0.63
0,158785,0.77
0,158798,1.07
0,158811,1.79
0,158824,2.83
0,158837,4.17
0,158850,5.57
0,158863,6.63
0,158876,7.56
0,158889,8.51
0,158902,9.17
0,158915,9.78
0,158928,10.37
0,158941,10.73
0,158954,10.87
0,158967,10.85
0,158980,10.46
0,158993,9.97
0,159006,9.36
0,159019,8.58
0,159032,7.71
0,159045,6.70
0,159058,5.57
0,159071,4.25
0,159084,2.79
0,159097,1.17
0,159110,-0.51
0,159123,-2.15
0,159136,-3.79
0,159149,-5.16
0,159162,-6.48
0,159175,-7.67
0,159188,-8.62
0,159201,-9.74
0,159214,-10.65
0,159227,-11.21
0,159240,-11.43
0,159253,-11.52
0,159266,-11.46
0,159279,-11.43
0,159292,-11.34
0,159305,-10.94
0,159318,-10.34
0,159331,-9.52
0,159344,-8.59
0,159357,-7.44
0,159370,-6.45
0,159383,-5.13
0,159396,-3.85
0,159409,-2.11
0,159422,-0.38
0,159435,1.27
0,159448,2.86
0,159461,4.21
0,159474,5.78
0,159487,7.56
0,159500,9.41
0,159513,10.62
0,159526,11.03
0,159539,11.89
0,159552,14.81
0,159565,14.57
0,159578,14.51
0,159591,15.55
0,159604,13.23
0,159617,10.96
0,159630,8.62
0,159643,6.29
0,159656,4.22
0,159669,2.19
0,159682,1.11
0,159695,0.15
0,159708,-0.69
0,159721,-1.31
0,159734,-2.07
0,159747,-2.89
0,159760,-3.68
0,159773,-4.51
0,159786,-5.74
0,159799,-6.67
0,159812,-7.49
0,159825,-8.39
0,159838,-8.81
0,159851,-9.02
0,159864,-8.98
0,159877,-8.69
0,159890,-8.57
0,159903,-8.18
0,159916,-7.48
0,159929,-6.52
0,159942,-5.66
0,159955,-4.95
0,159968,-4.15
0,159981,-3.67
0,159994,-3.35
0,160007,-2.83
0,160020,-2.25
0,160033,-1.49
0,160046,-0.73
0,160059,0.04
0,160072,1.09
0,160085,2.10
0,160098,2.77
0,160111,3.58
0,160124,4.41
0,160137,5.47
0,160150,6.55
0,160163,7.45
0,160176,8.04
0,160189,8.46
0,160202,8.72
0,160215,8.73
0,160228,8.62
0,160241,8.45
0,160254,8.08
0,160267,7.74
0,160280,7.43
0,160293,6.97
0,160306,6.46
0,160319,5.80
0,160332,4.90
0,160345,3.83
0,160358,2.69
0,160371,1.51
0,160384,0.30
0,160397,-0.78
0,160410,-1.86
0,160423,-2.97
0,160436,-4.10
0,160449,-5.21
0,160462,-6.05
0,160475,-6.56
0,160488,-6.88
0,160501,-7.05
0,160514,-7.21
0,160527,-7.30
0,160540,-7.35
0,160553,-7.39
0,160566,-7.39
0,160579,-7.25
0,160592,-6.96
0,160605,-6.62
